39	526
243.521072388	34.8477	135.47609
245.733413696	34.84766	135.47605
246.728591919	34.84759	135.476
238.508956909	34.84703	135.47577
237.950759888	34.84686	135.47566
236.929412842	34.84678	135.4756
236.775405884	34.84675	135.47556
236.585357666	34.84671	135.47551
237.047164917	34.84671	135.47545
237.315719604	34.84673	135.47542
237.619064331	34.84677	135.47536
238.055404663	34.8471	135.47511
237.130889893	34.84713	135.47506
233.90864563	34.84725	135.47488
233.316101074	34.84729	135.47484
231.188156128	34.8474	135.47473
232.011230469	34.84744	135.47472
232.564056396	34.84749	135.4747
234.108413696	34.84787	135.4746
233.637496948	34.848	135.47459
233.421905518	34.8481	135.47459
233.951721191	34.84813	135.4746
235.317321777	34.8482	135.47463
248.168334961	34.84848	135.47486
248.849075317	34.84854	135.47488
249.913864136	34.8486	135.47491
247.781082153	34.84864	135.47491
242.533691406	34.84871	135.47488
240.040466309	34.84877	135.47486
238.15057373	34.84885	135.4748
237.283828735	34.84896	135.47471
237.108795166	34.84904	135.47466
237.133132935	34.84908	135.47464
237.503479004	34.84913	135.47464
237.98576355	34.84923	135.47467
237.233734131	34.84927	135.47467
232.53326416	34.8494	135.47464
230.661361694	34.84946	135.47464
229.93687439	34.84951	135.47466
230.252288818	34.84954	135.47469
230.289260864	34.84959	135.47473
231.282989502	34.84962	135.47478
232.849472046	34.84963	135.47483
234.294998169	34.84964	135.47488
238.225738525	34.84966	135.47506
240.514007568	34.84968	135.47517
242.070175171	34.84969	135.47522
243.836364746	34.84972	135.47529
244.359146118	34.84976	135.47539
240.184661865	34.85017	135.47595
240.53427124	34.85025	135.47604
240.566665649	34.85038	135.47616
238.38508606	34.85043	135.47614
237.273910522	34.85053	135.47604
237.465515137	34.85053	135.47602
237.324295044	34.85043	135.47566
235.74118042	34.85035	135.47533
235.278106689	34.85035	135.47527
234.664154053	34.85036	135.47521
233.821792603	34.85039	135.47514
234.127655029	34.85043	135.47511
235.066833496	34.8505	135.47508
237.298843384	34.85072	135.47498
236.597976685	34.8508	135.47493
235.769348145	34.85083	135.47489
235.112731934	34.85085	135.47484
234.713027954	34.85085	135.47477
232.281951904	34.85081	135.47462
231.525802612	34.85079	135.47454
230.854446411	34.85079	135.47445
230.063644409	34.8508	135.47437
228.090438843	34.85081	135.47426
227.833465576	34.85084	135.47419
227.746612549	34.85087	135.47413
228.656570435	34.85099	135.47395
229.038696289	34.85104	135.47389
232.067138672	34.85134	135.47368
231.649871826	34.85137	135.47362
230.635696411	34.85161	135.4731
230.162826538	34.85162	135.47303
230.446899414	34.85163	135.47295
230.125335693	34.85164	135.47261
229.452957153	34.85166	135.47255
228.98890686	34.85169	135.47251
228.008728027	34.85174	135.47248
227.845672607	34.8518	135.47248
229.130187988	34.85187	135.47251
232.807067871	34.85213	135.4726
235.432495117	34.85222	135.47262
237.653167725	34.85229	135.47262
237.300506592	34.85239	135.4726
230.135162354	34.85272	135.47248
229.710174561	34.85275	135.47248
229.091934204	34.85279	135.47248
236.647979736	34.85295	135.47267
236.878189087	34.85299	135.47269
137	2328
236.878189087	34.85299	135.47269
234.510223389	34.85309	135.47269
233.52394104	34.85328	135.47268
233.871826172	34.85335	135.47268
236.798187256	34.85353	135.47274
235.50112915	34.85383	135.47286
232.849563599	34.85403	135.47304
232.215042114	34.85411	135.4731
232.249954224	34.8542	135.47314
232.403076172	34.85426	135.47314
233.037017822	34.85431	135.47313
234.670501709	34.85437	135.47309
234.391021729	34.85446	135.47298
231.818008423	34.85474	135.47248
231.134613037	34.85478	135.47236
229.818710327	34.85482	135.47214
230.139205933	34.85483	135.47193
230.58404541	34.85481	135.47162
231.344833374	34.85482	135.47152
231.80758667	34.85483	135.47142
231.981201172	34.85485	135.47129
232.179046631	34.85497	135.47096
232.402450562	34.85508	135.47069
232.399749756	34.85512	135.4706
232.473373413	34.8552	135.47051
232.650192261	34.85531	135.47043
232.820480347	34.85538	135.47042
232.989212036	34.85547	135.47042
233.047637939	34.85553	135.47043
233.08543396	34.85559	135.47045
233.577911377	34.85563	135.4705
234.265411377	34.85571	135.47059
237.143814087	34.85599	135.47116
239.616455078	34.85619	135.47152
240.297775269	34.85637	135.47191
240.130020142	34.85646	135.47212
240.501556396	34.85647	135.4722
241.260467529	34.85647	135.47227
241.687332153	34.85644	135.4723
242.28968811	34.8564	135.47233
243.166992188	34.85636	135.47235
247.122314453	34.85607	135.47239
247.347396851	34.85603	135.47241
247.753738403	34.856	135.47243
248.897369385	34.85596	135.47247
250.189971924	34.85594	135.47253
250.978088379	34.85593	135.47258
251.950820923	34.85594	135.47267
262.868133545	34.856	135.47301
263.415863037	34.85603	135.47306
262.547393799	34.85606	135.4731
260.450378418	34.8561	135.47313
268.543487549	34.85635	135.4733
267.843139648	34.85637	135.47333
266.269439697	34.85639	135.47336
262.123535156	34.85644	135.47348
261.114318848	34.85657	135.474
260.748321533	34.85657	135.47406
260.39932251	34.85656	135.4741
261.398345947	34.85653	135.47419
262.025695801	34.85649	135.47422
261.744659424	34.85645	135.47425
262.643585205	34.85604	135.47443
263.306030273	34.85599	135.47447
263.395477295	34.85597	135.4745
263.410705566	34.85596	135.47455
263.715820312	34.85596	135.47462
263.920562744	34.85598	135.47467
265.798675537	34.8561	135.47489
271.087280273	34.85628	135.47562
272.465026855	34.85637	135.47585
272.883850098	34.85643	135.47601
273.224212646	34.85645	135.47612
273.30291748	34.85645	135.4763
